Word	[ (Document1, Count1), ... ]
*ai-	(26, 1) 
*mait-	(26, 1) 
*morwi-	(26, 1) 
*ǣmaitjōn	(26, 1) 
+	(26, 1) 
-	(5, 1) (13, 1) (12, 1) (15, 1) 
-bar	(13, 1) (12, 1) 
0	(12, 1) (13, 1) 
0-02-933153-6warry	(24, 1) 
0-253-33546-9leblanc	(24, 1) 
0-253-33557-4budiansky	(4, 1) 
0-275-95259-2connolly	(24, 1) 
0-275-97809-5gichon	(24, 1) 
0-312-30932-5adams	(24, 1) 
0-340-60386-0scales	(5, 1) 
0-405-12169-5gross	(4, 1) 
0-500-05124-0keegan	(24, 1) 
0-679-73082-6kern	(24, 1) 
0-7006-1240-8glines	(4, 1) 
0-7603-1140-4davies	(9, 1) 
0-8306-8533-2neufeld	(9, 1) 
0-85045-942-7peers	(24, 1) 
0-85130-236-xtyack	(9, 1) 
0-87480-581-3mayor	(24, 1) 
0-9666368-0-5lake	(9, 1) 
000	(22, 1) 
0000	(29, 1) 
0030–20	(26, 1) 
0043-0374head	(19, 1) 
0043-0374{{cite	(19, 1) 
005-metre	(27, 1) 
01%religionwhen	(20, 1) 
01-2	(12, 1) (13, 1) 
012%statistics	(20, 1) 
0143-5450gibson	(9, 1) 
02	(13, 1) (12, 1) 
021%atheist	(20, 1) 
0313286116richard	(19, 1) 
04%polish	(20, 1) 
0415	(10, 1) 
052c	(28, 1) 
054	(28, 1) 
059	(30, 1) 
06-2	(12, 1) (13, 1) 
075	(13, 2) (26, 1) (12, 2) 
076	(12, 1) (13, 1) 
0804116024external	(5, 1) 
0804723753isitt	(19, 1) 
091	(22, 1) 
0954-6545	(19, 1) 
1	(19, 4) (22, 8) (18, 1) (8, 3) (7, 4) (12, 6) (27, 4) (20, 6) (3, 1) (5, 1) (13, 6) (10, 3) (26, 1) (2, 9) (17, 2) (21, 13) 
1%	(26, 1) 
1-02	(5, 1) 
1-58544-215-1higham	(4, 1) 
1-58544-241-0lockee	(4, 1) 
1-58567-348-xpeers	(24, 1) 
1-58980-034-6buckley	(4, 1) 
1-7	(5, 2) 
1-84725-187-0van	(24, 1) 
1-85367-303-xgabriel	(24, 1) 
1-85367-477-xgoldsworthy	(24, 1) 
1-85409-223-5corum	(4, 1) 
1-85532-514-4sabin	(24, 1) 
1-86227-109-7screaming	(5, 1) 
1-875671-36-6external	(9, 1) 
1-pounder	(27, 4) 
1/3	(21, 1) 
10	(21, 9) (9, 1) (20, 2) (19, 4) (22, 5) (23, 1) (8, 1) (12, 3) (27, 5) (26, 1) (30, 1) (11, 1) (10, 5) (13, 3) (2, 1) (25, 2) 
10%	(18, 2) (3, 1) 
100	(19, 3) (9, 1) (24, 3) (22, 1) (26, 2) (4, 1) (27, 1) (30, 2) (10, 1) 
100%	(10, 1) 
100-mm	(30, 2) 
1000	(24, 1) (28, 1) (23, 1) (19, 3) (2, 1) (17, 1) 
10000	(23, 1) (24, 1) (22, 1) 
100000	(22, 1) (21, 3) (20, 1) (8, 1) (12, 2) (10, 1) (13, 2) 
100000-tonne	(13, 2) (12, 2) 
1000000	(22, 1) (23, 1) 
1000–500	(24, 1) 
100d	(9, 2) 
100dothersisrael	(9, 1) 
100th	(21, 1) 
101	(11, 1) 
101-5-1	(5, 1) 
101000-tonne	(12, 1) (13, 1) 
1015	(26, 2) 
1016	(26, 1) 
101st	(5, 4) (10, 17) 
102	(21, 1) 
10250	(14, 1) 
102787	(20, 1) 
103	(22, 1) 
1030000	(21, 1) 
103138/jctv1005dpzwright	(19, 1) 
104%	(20, 1) 
1040	(21, 1) 
105	(22, 1) (27, 3) 
1050	(12, 1) (13, 1) 
106	(24, 1) 
107	(2, 1) 
108	(8, 1) 
109	(8, 1) 
109%	(20, 1) 
1092	(13, 1) (12, 1) 
10lb	(22, 1) 
10th	(19, 1) (5, 2) (10, 1) (24, 1) 
10–12000	(19, 1) 
11	(19, 8) (22, 6) (20, 2) (17, 4) (10, 3) (12, 3) (13, 3) (5, 5) (11, 1) (2, 2) (21, 2) 
11#4	(19, 1) 
11%	(18, 1) 
11%german	(20, 1) 
11-pounder	(27, 1) 
11/75	(27, 1) 
110%	(20, 1) 
11000-man	(22, 1) 
110000	(20, 1) 
1106	(13, 2) (12, 2) 
111915	(20, 1) 
111s	(9, 1) 
111–126silverman	(20, 1) 
112	(10, 1) (19, 1) 
113	(24, 1) 
1130	(10, 1) 
114	(27, 1) 
11400-tonne	(12, 1) (13, 1) 
115%italian	(20, 1) 
116%	(20, 1) 
117-foot	(22, 1) 
117986	(21, 1) 
1181	(22, 1) 
119	(9, 1) 
11th	(20, 1) (18, 1) (10, 12) (19, 1) (5, 2) 
12	(5, 3) (20, 2) (22, 3) (21, 4) (26, 1) (9, 1) (29, 1) (19, 2) (13, 3) (27, 3) (2, 4) (10, 4) (12, 3) (23, 3) 
12%	(26, 1) 
12-pounder	(19, 1) (27, 2) 
12-ton	(22, 1) 
120	(27, 4) (9, 1) (10, 3) 
1200	(10, 1) (22, 1) (14, 1) (12, 1) (13, 1) (19, 3) 
12000	(19, 1) (21, 2) 
120000	(21, 1) (15, 1) (9, 1) 
122000	(15, 1) 
123–124	(20, 1) 
123–149padfeld	(25, 1) 
124334	(15, 1) 
125	(27, 1) (10, 1) 
126	(26, 1) 
127	(28, 1) 
1274	(24, 1) 
128	(27, 1) (19, 1) 
128%french	(20, 1) 
128190	(20, 1) 
129–148	(19, 1) 
12th	(19, 1) (24, 1) 
12–13th	(24, 1) 
12–14moore	(22, 1) 
13	(22, 4) (30, 1) (21, 4) (23, 2) (5, 3) (19, 2) (20, 1) (28, 1) (10, 4) (17, 3) 
13-pdr	(27, 2) 
13-pounder	(27, 1) 
13-pr	(27, 1) 
13-year	(23, 1) 
130	(21, 2) (22, 1) (17, 1) (26, 1) (29, 1) 
13000	(27, 2) 
130000governmentlocalterritorial	(20, 1) 
133	(24, 1) 
135	(22, 1) 
1361	(20, 1) 
1361-4231wilson	(9, 1) 
1363-0369hirst	(9, 1) 
137	(10, 1) 
138	(10, 1) 
13800	(26, 2) 
1397–1796this	(20, 1) 
139–159rommelse	(25, 1) 
13]	(19, 1) 
13th	(19, 2) (22, 1) (21, 1) (10, 3) 
14	(10, 1) (17, 4) (19, 4) (25, 1) (5, 1) (21, 6) (13, 2) (27, 1) (12, 2) (2, 2) 
14000	(10, 1) 
14000-tonne	(12, 1) (13, 1) 
141	(19, 1) (21, 1) 
1410	(20, 1) 
1427	(17, 1) 
143	(26, 1) 
144000	(21, 1) 
14496	(20, 1) 
146	(24, 1) 
1477–1806	(25, 1) 
148	(21, 1) 
149	(24, 1) 
1492347	(20, 1) 
14th	(24, 1) (23, 1) (21, 1) 
14–15	(10, 1) 
14–16	(19, 1) 
15	(19, 1) (20, 4) (29, 1) (22, 2) (30, 1) (2, 4) (26, 1) (10, 4) (21, 3) (5, 2) (8, 1) (17, 1) 
15%	(3, 1) 
150	(17, 1) (19, 2) (24, 1) (22, 1) (8, 1) (21, 1) (10, 1) (26, 1) (9, 1) 
150+	(19, 1) 
1500	(19, 1) (24, 1) 
15000	(13, 2) (20, 1) (17, 1) (21, 1) (22, 2) (12, 2) 
15000-pound	(14, 1) 
1500000	(2, 1) 
1500m	(29, 1) 
1500–200	(24, 1) 
1500–500	(24, 1) 
150th	(21, 2) 
151	(5, 1) 
1515	(21, 1) 
152	(19, 1) (27, 1) 
152%	(21, 1) 
152-foot	(22, 1) 
152050937kinvig	(19, 1) 
1524	(27, 1) 
153	(10, 1) 
154	(10, 1) 
1552	(20, 1) 
156	(10, 1) 
1565	(22, 1) 
1574884298==	(19, 1) 
1581	(25, 1) 
1583	(22, 1) 
1585	(25, 1) 
15th	(22, 1) (21, 1) 
15–20	(9, 1) 
16	(21, 2) (23, 3) (2, 4) (3, 1) (13, 3) (19, 4) (22, 3) (10, 3) (5, 1) (12, 3) (4, 1) 
16%	(26, 1) 
16/17	(10, 1) 
160	(10, 1) (9, 1) (30, 1) 
